,Airport,Year,Visitors,long,lat
1,Cork,2007,879210,-8.4928,51.8449
2,Cork,2008,912946,-8.4928,51.8449
3,Cork,2009,855948,-8.4928,51.8449
4,Cork,2010,798054,-8.4928,51.8449
5,Cork,2011,816275,-8.4928,51.8449
6,Cork,2012,800913,-8.4928,51.8449
7,Cork,2013,781158,-8.4928,51.8449
8,Cork,2014,793005,-8.4928,51.8449
9,Cork,2015,817576,-8.4928,51.8449
10,Cork,2016,849192,-8.4928,51.8449
11,Kerry,2007,133184,-9.5372,52.1814
12,Kerry,2008,147844,-9.5372,52.1814
13,Kerry,2009,126340,-9.5372,52.1814
14,Kerry,2010,157632,-9.5372,52.1814
15,Kerry,2011,140397,-9.5372,52.1814
16,Kerry,2012,126882,-9.5372,52.1814
17,Kerry,2013,135527,-9.5372,52.1814
18,Kerry,2014,127973,-9.5372,52.1814
19,Kerry,2015,131047,-9.5372,52.1814
20,Kerry,2016,138468,-9.5372,52.1814
21,Knock,2007,266962,-8.8112,53.9138
22,Knock,2008,304939,-8.8112,53.9138
23,Knock,2009,294153,-8.8112,53.9138
24,Knock,2010,288611,-8.8112,53.9138
25,Knock,2011,321820,-8.8112,53.9138
26,Knock,2012,338698,-8.8112,53.9138
27,Knock,2013,328398,-8.8112,53.9138
28,Knock,2014,347140,-8.8112,53.9138
29,Knock,2015,338497,-8.8112,53.9138
30,Knock,2016,362222,-8.8112,53.9138
31,Shannon,2007,1493311,-8.9147,52.6997
32,Shannon,2008,1335383,-8.9147,52.6997
33,Shannon,2009,1189438,-8.9147,52.6997
34,Shannon,2010,718504,-8.9147,52.6997
35,Shannon,2011,666863,-8.9147,52.6997
36,Shannon,2012,626861,-8.9147,52.6997
37,Shannon,2013,640534,-8.9147,52.6997
38,Shannon,2014,763446,-8.9147,52.6997
39,Shannon,2015,808630,-8.9147,52.6997
40,Shannon,2016,821219,-8.9147,52.6997
41,Sligo,2007,3799,-8.5998,54.2803
42,Sligo,2008,4570,-8.5998,54.2803
43,Sligo,2009,0,-8.5998,54.2803
44,Sligo,2010,42,-8.5998,54.2803
45,Sligo,2011,39,-8.5998,54.2803
46,Sligo,2012,0,-8.5998,54.2803
47,Sligo,2013,0,-8.5998,54.2803
48,Sligo,2014,0,-8.5998,54.2803
49,Sligo,2015,0,-8.5998,54.2803
50,Sligo,2016,0,-8.5998,54.2803
51,Waterford,2007,59433,-7.0809,52.1886
52,Waterford,2008,68998,-7.0809,52.1886
53,Waterford,2009,55248,-7.0809,52.1886
54,Waterford,2010,50332,-7.0809,52.1886
55,Waterford,2011,38237,-7.0809,52.1886
56,Waterford,2012,38520,-7.0809,52.1886
57,Waterford,2013,13680,-7.0809,52.1886
58,Waterford,2014,16086,-7.0809,52.1886
59,Waterford,2015,16600,-7.0809,52.1886
60,Waterford,2016,6508,-7.0809,52.1886
61,Galway,2007,104677,-8.9405,53.3019
62,Galway,2008,90359,-8.9405,53.3019
63,Galway,2009,66869,-8.9405,53.3019
64,Galway,2010,56520,-8.9405,53.3019
65,Galway,2011,34547,-8.9405,53.3019
66,Galway,2012,0,-8.9405,53.3019
67,Galway,2013,0,-8.9405,53.3019
68,Galway,2014,0,-8.9405,53.3019
69,Galway,2015,0,-8.9405,53.3019
70,Galway,2016,0,-8.9405,53.3019
71,Dublin,2007,8847687,-6.2499,53.4264
72,Dublin,2008,8873391,-6.2499,53.4264
73,Dublin,2009,8064478,-6.2499,53.4264
74,Dublin,2010,7468450,-6.2499,53.4264
75,Dublin,2011,7690608,-6.2499,53.4264
76,Dublin,2012,7764296,-6.2499,53.4264
77,Dublin,2013,8173312,-6.2499,53.4264
78,Dublin,2014,8741572,-6.2499,53.4264
79,Dublin,2015,9939488,-6.2499,53.4264
80,Dublin,2016,10960422,-6.2499,53.4264
81,Donegal,2007,6712,-8.3426,55.0382
82,Donegal,2008,8544,-8.3426,55.0382
83,Donegal,2009,5842,-8.3426,55.0382
84,Donegal,2010,5756,-8.3426,55.0382
85,Donegal,2011,5257,-8.3426,55.0382
86,Donegal,2012,4182,-8.3426,55.0382
87,Donegal,2013,5003,-8.3426,55.0382
88,Donegal,2014,5402,-8.3426,55.0382
89,Donegal,2015,5066,-8.3426,55.0382
90,Donegal,2016,5899,-8.3426,55.0382
