Airport,Year,Visitors
Cork,2007,879210
Cork,2008,912946
Cork,2009,855948
Cork,2010,798054
Cork,2011,816275
Cork,2012,800913
Cork,2013,781158
Cork,2014,793005
Cork,2015,817576
Cork,2016,849192
Knock,2007,266962
Knock,2008,304939
Knock,2009,294153
Knock,2010,288611
Knock,2011,321820
Knock,2012,338698
Knock,2013,328398
Knock,2014,347140
Knock,2015,338497
Knock,2016,362222
Shannon,2007,1493311
Shannon,2008,1335383
Shannon,2009,1189438
Shannon,2010,718504
Shannon,2011,666863
Shannon,2012,626861
Shannon,2013,640534
Shannon,2014,763446
Shannon,2015,808630
Shannon,2016,821219
Dublin,2007,8847687
Dublin,2008,8873391
Dublin,2009,8064478
Dublin,2010,7468450
Dublin,2011,7690608
Dublin,2012,7764296
Dublin,2013,8173312
Dublin,2014,8741572
Dublin,2015,9939488
Dublin,2016,10960422
